,delta,nodes_cc,length_cc,i,j
182,18911.979682878246,34011.0,1471.983314999992,46435368.0,46441190.0
183,18966.78355703971,34016.0,1472.1290729999916,46477293.0,46478633.0
184,19034.090496997065,34021.0,1472.3558269999921,453443403.0,46521799.0
185,19112.012827169536,34026.0,1472.4540469999915,1334454497.0,46524123.0
186,19339.914738199444,34031.0,1472.641696999992,46552866.0,46547188.0
187,19411.655506178893,34036.0,1472.962218999992,1317084430.0,5523501916.0
188,19428.7593302929,34041.0,1473.1397709999917,46165797.0,1402058474.0
189,19503.329381839594,34046.0,1473.2860069999915,158694434.0,158694436.0
190,19607.388610513197,34051.0,1473.6395689999913,4753208768.0,1120308635.0
191,19633.17714592193,34056.0,1474.1152289999914,125645332.0,1457730686.0
192,19674.720240693314,34061.0,1474.235746999991,2021835257.0,1880770263.0
193,19679.748694196107,34066.0,1474.2594009999912,46310737.0,1976839619.0
194,19710.06704304133,34071.0,1474.4879149999913,1683811191.0,4142850711.0
195,19722.951754415368,34076.0,1474.5292909999912,5286520818.0,5685618406.0
196,19744.436061372726,34081.0,1474.575272999991,297099553.0,5737120670.0
197,19753.616446916087,34085.0,1474.661144999991,46376597.0,46377142.0
198,20066.064347088268,34089.0,1474.9451189999909,1365315929.0,46336509.0
199,20169.841517292683,34093.0,1475.0047789999915,2934190734.0,30138378.0
200,20201.5536781076,34097.0,1475.1464969999913,764436542.0,1468478472.0
201,20260.06372604553,34101.0,1475.2770489999912,46160679.0,46161609.0
202,20396.499679659995,34105.0,1475.4250409999916,1327347984.0,46167084.0
203,20400.459055822048,34109.0,1475.4753379999913,784067178.0,46177083.0
204,20412.561940432097,34113.0,1475.5583539999911,314401698.0,46258419.0
205,20442.220295582545,34117.0,1475.6564319999911,46273908.0,46273831.0
206,20466.53108865201,34121.0,1475.7950179999914,46282694.0,46282211.0
207,20529.021291330842,34125.0,1475.8481799999909,46284778.0,46284633.0
208,20599.37658300213,34129.0,1475.892073999991,344893674.0,46291122.0
209,20627.91202525179,34133.0,1475.9988729999911,46297265.0,4544083086.0
210,20675.253093280127,34137.0,1476.1396049999914,46298852.0,46298490.0
211,20783.77203773166,34141.0,1476.2270959999912,363887817.0,1709778066.0
212,20786.260972780317,34145.0,1476.3225539999912,5416885004.0,3307343454.0
213,20791.951049517014,34149.0,1476.3440079999912,1333372788.0,46312226.0
214,20796.648163892347,34153.0,1476.3755579999909,4924158601.0,4918170994.0
215,20812.333841873293,34157.0,1476.5001829999906,46325460.0,46325357.0
216,20821.164939434668,34161.0,1476.6071569999904,3694043159.0,252728564.0
217,20863.574129346398,34165.0,1476.725162999991,1318563836.0,286343705.0
218,20871.066069375716,34169.0,1476.8551469999907,1690450988.0,451707335.0
219,20946.998588819108,34173.0,1476.9446649999902,3188269841.0,3188225174.0
220,21096.706695971214,34177.0,1477.09141099999,5888264023.0,304075536.0
221,21137.798434427594,34181.0,1477.23641799999,1245518571.0,46424496.0
222,21167.230291251566,34185.0,1477.3783929999904,46425115.0,46424804.0
223,21221.055415899657,34189.0,1477.72586499999,46427678.0,46426761.0
224,21247.803911936928,34193.0,1477.9869729999898,305144742.0,46426683.0
225,21417.709211918227,34197.0,1478.1303269999896,2836022605.0,46443109.0
226,21451.989336937364,34201.0,1478.3363789999896,46469191.0,46468291.0
227,21545.383351555414,34205.0,1478.4130009999894,46467189.0,1306193465.0
228,21656.90779602909,34209.0,1478.6491389999887,1768920524.0,46470198.0
229,21726.845580600362,34213.0,1478.7545889999892,46478084.0,418722373.0
230,21788.56981147263,34217.0,1478.899195999989,46477143.0,46476015.0
231,21938.59084679543,34221.0,1478.984753999989,46545047.0,46541745.0
232,22066.275310449768,34225.0,1479.0298459999888,46552776.0,5226368616.0
233,22122.54761092565,34229.0,1479.1254059999887,31101317.0,435311035.0
234,22275.59671988527,34233.0,1479.262841999989,1360325741.0,1245847679.0
235,22294.718057606104,34237.0,1479.2893899999885,795901339.0,795901340.0
236,22313.43298835852,34241.0,1479.3195819999887,795901346.0,795901345.0
237,22443.421213263475,34245.0,1479.383989999989,372561217.0,904967862.0
238,22450.806473165,34249.0,1479.5462979999886,46350271.0,1221182557.0
239,22481.52704211517,34253.0,1479.6820119999888,31296293.0,1419371338.0
240,22581.992842490552,34257.0,1479.732613999989,46495109.0,2445075737.0
241,22586.92289141468,34261.0,1479.8813019999889,1332242060.0,5680069872.0
242,22639.032632960752,34265.0,1480.3243419999894,46285682.0,4821642979.0
243,22729.736159203523,34268.0,1480.5396919999894,2020204392.0,46251904.0
244,22802.11578216956,34271.0,1480.6415519999894,254477819.0,46277921.0
245,22852.97449893145,34274.0,1480.6901419999895,1457357218.0,1684821152.0
246,22876.869498854572,34277.0,1480.9155089999897,1367849244.0,46312590.0
247,22924.036864703114,34280.0,1481.0473969999896,46308734.0,46308487.0
248,23012.37013870172,34283.0,1481.1359609999893,1979408143.0,46314360.0
249,23098.74687773627,34286.0,1481.2368719999893,764716565.0,46334274.0
250,23172.636770831145,34289.0,1481.382321999989,1976392155.0,46338586.0
251,23229.667907862644,34292.0,1481.8106919999893,3202114173.0,46342136.0
252,23240.112063763056,34295.0,1481.88928999999,2021881864.0,5809533846.0
253,23324.546351711007,34298.0,1482.02680799999,1365168764.0,46347206.0
254,23340.087741266496,34301.0,1482.2347669999901,364687557.0,46356729.0
255,23380.698667452587,34304.0,1482.3455619999904,46354504.0,46355782.0
256,23476.462038875638,34307.0,1482.43089799999,3177151763.0,46360831.0
257,23529.376524978717,34310.0,1482.5204799999904,3159493925.0,46369860.0
258,23588.707492523183,34313.0,1482.7398829999902,1332242071.0,46387044.0
259,23635.33179792189,34316.0,1482.8067429999908,1747426814.0,46400888.0
260,23681.897862490852,34319.0,1482.8590859999908,46399041.0,46400862.0
261,23721.536780888255,34322.0,1482.9723629999905,46405080.0,46404332.0
262,23730.103185942953,34325.0,1483.0838119999905,438419337.0,46422181.0
263,23747.159537522384,34328.0,1483.2107109999906,1245518562.0,46423458.0
264,23765.139850817646,34331.0,1483.3333699999905,46467189.0,46466587.0
265,23770.31005467134,34334.0,1483.3471039999904,5594987476.0,46503782.0
266,23808.166650826384,34337.0,1483.6598459999907,46553810.0,46553116.0
267,23856.121634962707,34340.0,1483.91960599999,311590572.0,4653799535.0
268,23993.75996926923,34343.0,1484.0286829999902,46555017.0,46558022.0
269,24113.87633632157,34346.0,1484.2144229999903,1413270331.0,75572258.0
270,24276.81893614115,34349.0,1484.2923429999905,3329697280.0,4030062481.0
271,24328.739561292143,34352.0,1484.42597299999,3803531913.0,3803531910.0
272,24334.18459263673,34355.0,1484.484888999991,46354504.0,5406870497.0
273,24346.14728125009,34358.0,1484.4975189999905,46359166.0,4594711160.0
274,24357.634178614975,34361.0,1484.6190749999907,5625294703.0,457209295.0
275,24421.765133560104,34364.0,1484.6515729999908,512195015.0,512195009.0
276,24445.809817695215,34367.0,1484.7143309999906,1991478008.0,1614276531.0
277,24527.198291608318,34370.0,1484.7918349999904,316325888.0,4239971433.0
278,24532.158104103622,34373.0,1485.0040939999906,46409648.0,3931180931.0
279,24634.749636706078,34376.0,1485.4058879999902,1587599294.0,4076714921.0
280,24683.507219624156,34379.0,1485.4378539999902,297230905.0,4447690136.0
281,24758.145260542886,34381.0,1485.5812849999904,2999825916.0,46059796.0
282,24764.687438196637,34383.0,1485.6288489999902,332144864.0,46202330.0
283,24998.86113955756,34385.0,1485.8001949999903,281712129.0,46212899.0
284,25005.457112122236,34387.0,1485.8185619999906,1725810236.0,429785009.0
285,25030.799672346544,34389.0,1486.0720229999904,616318461.0,46250801.0
286,25047.073068100675,34391.0,1486.3122179999905,616318460.0,46251809.0
287,25091.082029749417,34393.0,1486.5258239999903,46249963.0,46251832.0
288,25102.409181583615,34395.0,1486.5500319999903,30813410.0,46267658.0
289,25148.073098843728,34397.0,1486.5847939999906,46270804.0,46270368.0
290,25216.169234356406,34399.0,1486.7736359999906,46275728.0,46275866.0
291,25286.49100637929,34401.0,1486.9013639999903,1116749310.0,46277983.0
292,25292.271586106894,34403.0,1487.0014699999901,4680207080.0,46279914.0
293,25337.677757435522,34405.0,1487.0808969999898,46313014.0,46314141.0
294,25385.755120960028,34407.0,1487.09630099999,242035571.0,237812191.0
295,25517.80152937943,34409.0,1487.1192249999901,46321947.0,1367850602.0
296,25569.851954569127,34411.0,1487.22027099999,46318091.0,46320043.0
297,25587.75311215839,34413.0,1487.29414999999,4623269498.0,46326149.0
298,25705.184457891566,34415.0,1487.3342259999897,387500146.0,1474954865.0
299,25760.259355125403,34417.0,1487.3881869999898,46342860.0,46340744.0
300,25769.39283134573,34419.0,1487.4255349999896,46351316.0,46351633.0
301,25828.310451001435,34421.0,1487.6676449999898,46357671.0,46355862.0
302,25830.15781914685,34423.0,1487.71908699999,46362733.0,1307649106.0
303,25883.87455146971,34425.0,1487.76402099999,386910393.0,46360618.0
304,25994.35367742559,34427.0,1487.8759829999897,46372472.0,46372608.0
305,26033.807187184488,34429.0,1487.9698649999896,46372849.0,46372928.0
306,26061.88867514646,34431.0,1488.0108929999892,3615313758.0,46383015.0
307,26137.55686563375,34433.0,1488.0752889999894,46381202.0,46383340.0
308,26179.81855878207,34435.0,1488.1332289999891,46389218.0,46388842.0
309,26217.321667466764,34437.0,1488.242905999989,46389269.0,46389399.0
310,26258.091116573054,34439.0,1488.337743999989,46389674.0,46389778.0
311,26301.22429301583,34441.0,1488.4422149999891,46392456.0,46390820.0
312,26305.51087649607,34443.0,1488.5538179999894,297498379.0,46398069.0
313,26345.88415016402,34445.0,1488.6114839999893,46425405.0,46423518.0
314,26375.651102061613,34447.0,1488.6841789999896,4600632071.0,46435166.0
315,26418.816679643547,34449.0,1488.7988289999894,1222424105.0,46440024.0
316,26448.593035425667,34451.0,1488.8451679999891,737145056.0,46455942.0
317,26550.551099884895,34453.0,1488.8695319999895,235194306.0,46460057.0
318,26577.85628357646,34455.0,1488.9395689999894,46465576.0,46464534.0
319,26597.077597365467,34457.0,1488.9829609999897,46472901.0,46473252.0
320,26823.56459444415,34459.0,1489.02078899999,1677664361.0,380486069.0
321,27036.084354923223,34461.0,1489.0626609999897,5849893021.0,5704917445.0
322,27286.01586717447,34463.0,1489.2638809999899,1216103761.0,75615307.0
323,27437.919406248555,34465.0,1489.3420809999905,861498831.0,75619296.0
324,27633.380323412446,34467.0,1489.3765209999904,75619296.0,75660446.0
325,27638.146902053108,34469.0,1489.4358149999907,1578648268.0,1906967998.0
326,27643.401783066525,34471.0,1489.6220709999907,5416994395.0,4393301460.0
327,27723.096184545837,34473.0,1489.6702989999908,46576970.0,1112868323.0
328,27783.13538659985,34475.0,1489.7710489999909,2743731048.0,292241354.0
329,27851.03539762785,34477.0,1489.7895989999904,299327983.0,299327985.0
330,27857.089184079272,34479.0,1489.8511879999903,46231525.0,1607100762.0
331,27873.981898330083,34481.0,1489.8613979999905,1439221011.0,1439220991.0
332,27876.390997072038,34483.0,1489.8816699999907,2309656559.0,451707329.0
333,27880.970570737154,34485.0,1489.8974029999906,4541705092.0,1016716187.0
334,27915.363542204253,34487.0,1489.9153919999903,1326227925.0,3899792601.0
335,27920.763892950337,34489.0,1489.9309069999904,2021896938.0,1291479372.0
336,27984.600645809915,34491.0,1490.0089629999902,5171795062.0,1412490285.0
337,28097.63089710247,34493.0,1490.1761929999902,1414692803.0,1414692827.0
338,28152.097126385142,34495.0,1490.3384909999904,1414692803.0,1414692821.0
339,28308.149456052164,34497.0,1490.3696269999903,46178579.0,1907012492.0
340,28383.140096546147,34499.0,1490.3875889999902,129998891.0,1509223815.0
341,28484.233100647125,34501.0,1490.5015709999905,46409687.0,1706367964.0
342,28547.26173114277,34503.0,1490.5878769999904,1565648139.0,1738396248.0
343,28661.1458177445,34505.0,1490.6081929999907,46314416.0,1782385415.0
344,28671.567461115337,34507.0,1490.6285809999904,1782385409.0,1782423618.0
345,28690.410996275546,34509.0,1490.6484229999905,770687729.0,1984429764.0
346,28850.21512739297,34511.0,1490.6623609999908,1998460136.0,2004730821.0
347,28910.48980905439,34513.0,1490.684634999991,46222805.0,2188702229.0
348,28923.73041789127,34515.0,1490.694787999991,5509217725.0,3804150332.0
349,28929.556969552403,34517.0,1490.7793309999909,1083518285.0,3301285114.0
350,28937.883464427705,34519.0,1490.813762999991,63480578.0,3414741788.0
351,28975.65345367625,34521.0,1490.8817449999908,1366528849.0,3792707519.0
352,28980.43716822934,34523.0,1490.884694999991,3803531913.0,3803531921.0
353,28990.199038077346,34525.0,1490.9324629999912,46330757.0,4336924182.0
354,28996.39602963713,34527.0,1490.987061999991,46401297.0,4475742645.0
355,29000.91490004183,34529.0,1490.992271999991,46409226.0,4489495350.0
